,Comp Group,Department,Roles/ Titles,Step & Level,"Annual Salary
USD",Salary Start Effective Date,Salary End Effective Date
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 2,"$275,000.00","Jul 01, 2025",
,Core Consulting,Partner,"Partner,""
Partner, User Experience""",Partner/SVP - Step 3,"$300,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate - Step 1,"$70,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design",Production Design Associate,Associate - Step 2,"$75,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff - Step 1,"$80,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Designer,Production Designer,Studio Manager",Staff - Step 2,"$90,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior - Step 1,"$105,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Senior Studio Designer,Senior Production Designer,Senior Studio Manager",Senior - Step 2,"$120,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 1,"$145,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 2,"$160,000.00","Jul 01, 2025",
,Specialist Consulting,"Production,Studio,Studio Design","Studio Design Director,Production Design Director",Director - Step 3,"$175,000.00","Jul 01, 2025",
